page_title,snippet,doi,query,cited_by_count
Efficient-market hypothesis,"1111/j.1540-6261.1997.tb03808.x. Amihud, Yakov (2002). 'Illiquidity and stock returns: Cross-section and time series effects'. Journal of Financial Markets",10.1016/s1386-4181(01)00024-6,"""Illiquidity and stock returns cross-section and"" 2002",10217
Massachusetts Council on Compulsive Gambling,"47(9): 833-843. Hudson J, Hiripi E, Pope H, Kessler R. The prevalence and correlates of eating disorders in the National Comorbidity Survey Replication",10.1016/j.biopsych.2006.03.040,"""The Prevalence and Correlates of Eating"" 2006",4956
Easterlin paradox,Lifestyle creep Progress Satisfaction paradox Easterlin (1974). 'Does Economic Growth Improve the Human Lot? Some Empirical Evidence' (PDF). In Paul A. David;,10.1016/b978-0-12-205050-3.50008-7,"""Does Economic Growth Improve the Human"" 1974",4363
Richard Easterlin,Oswald. Easterlin was in particular known for his 1974 article 'Does Economic Growth Improve the Human Lot? Some Empirical Evidence' and the Easterlin paradox,10.1016/b978-0-12-205050-3.50008-7,"""Does Economic Growth Improve the Human"" 1974",4363
Prospect theory,"Easterlin, Richard A. 'Does Economic Growth Improve the Human Lot?', in Abramovitz, Moses; David, Paul A.; Reder, Melvin Warren (1974). Nations and Households",10.1016/b978-0-12-205050-3.50008-7,"""Does Economic Growth Improve the Human"" 1974",4363
Andrew N. Meltzoff,"researcher Patricia K. Kuhl. In 1977, Science published the ground-breaking paper 'Imitation of Facial and Manual Gestures by Human Neonates' by Meltzoff",10.1126/science.198.4312.75,"""Imitation of Facial and Manual Gestures"" 1977",3220
Gesture,infant and child development conducted a study in 1977 on the imitation of facial and manual gestures by newborns. The study concluded that 'infants between,10.1126/science.198.4312.75,"""Imitation of Facial and Manual Gestures"" 1977",3220
Lip reading,"HuffPost. Retrieved 2020-10-11. Meltzoff, AN; Moore, MK (1977). 'Imitation of facial and manual gestures by human neonates'. Science. 198 (4312): 74–8. doi:10",10.1126/science.198.4312.75,"""Imitation of Facial and Manual Gestures"" 1977",3220
Israeli Americans,"continued with a total of 36,306 Israelis during 1970 to 1979, 43,669 in 1980 to 1989, 41,340 in 1990 to 1999, and 54,801 in 2000 to 2009. Since 2010,",10.1080/00208825.1980.11656300,"""Culture and Organizations"" 1980",2947
Charles Andrew Myers,"Accessed 05.02.2015. Hofstede, Geert. 'Culture and organizations.' International Studies of Management ' Organization (1980): 15-41. Machlup, Fritz. Frederick",10.1080/00208825.1980.11656300,"""Culture and Organizations"" 1980",2947
Frederick H. Harbison,"(1960): 9–10.' Hofstede, Geert. 'Culture and organizations.' International Studies of Management ' Organization (1980): 15-41. Machlup, Fritz. Frederick",10.1080/00208825.1980.11656300,"""Culture and Organizations"" 1980",2947
Reza Shadmehr,"2023. Shadmehr, R.; Mussa-Ivaldi, F. A. (May 1, 1994). 'Adaptive representation of dynamics during learning of a motor task'. Journal of Neuroscience. 14",10.1523/jneurosci.14-05-03208.1994,"""Adaptive representation of dynamics during learning"" 1994",2662
Motor control,"PMID 10943682. Shadmehr R, Mussa-Ivaldi FA (May 1994). 'Adaptive representation of dynamics during learning of a motor task'. The Journal of Neuroscience",10.1523/jneurosci.14-05-03208.1994,"""Adaptive representation of dynamics during learning"" 1994",2662
Yael Hochberg,"Yael; Ljungqvist, Alexander; Lu, Yang (September 2005). 'Whom You Know Matters: Venture Capital Networks and Investment Performance'. Journal of Finance",10.1111/j.1540-6261.2007.01207.x,"""Whom You Know Matters Venture Capital"" 2007",1895
Alexander Ljungqvist,"Y. (2007). Whom You Know Matters: Venture Capital Networks and Investment Performance. Journal of Finance. Ljungqvist, A. (2007). IPO underpricing. North-Holland",10.1111/j.1540-6261.2007.01207.x,"""Whom You Know Matters Venture Capital"" 2007",1895
Alastair Compston,International Multiple Sclerosis Genetics Consortium (2007). 'Risk Alleles for Multiple Sclerosis Identified by a Genomewide Study'. New England Journal of Medicine,10.1056/nejmoa073493,"""Risk Alleles for Multiple Sclerosis Identified"" 2007",1732
CLEC16A,"Lander ES, Daly MJ, De Jager PL, et al. (August 2007). 'Risk alleles for multiple sclerosis identified by a genomewide study'. The New England Journal",10.1056/nejmoa073493,"""Risk Alleles for Multiple Sclerosis Identified"" 2007",1732
David A. Hafler,"L.F., Cree, B., Oksenberg, J.R., Hauser, S.L. (2007). 'Risk alleles for multiple sclerosis identified by a genomewide study'. New England Journal of Medicine",10.1056/nejmoa073493,"""Risk Alleles for Multiple Sclerosis Identified"" 2007",1732
Prediction in language comprehension,"DeLong, K. A., Urbach, T. P., Kutas, M. (2005). Probabilistic word pre-activation during language comprehension inferred from electrical brain activity",10.1038/nn1504,"""Probabilistic word pre-activation during language comprehension"" 2005",1216
Judith Harackiewicz,University with a PhD in 1980. 'Promoting interest and performance in high school science classes' was published in 2009. The study aimed to investigate,10.1126/science.1177067,"""Promoting Interest and Performance in High"" 2009",1199
Expectancy-value theory,"1348/0007099041552314 Hulleman, C. S., ' Harackiewicz, J. M. (2009). Promoting interest and performance in high school science classes. Science, 326(5958), 1410-1412",10.1126/science.1177067,"""Promoting Interest and Performance in High"" 2009",1199
BBC Lab UK,"Bruno; Musil, Jason; Stewart, Lauren (26 February 2014). 'The Musicality of Non-Musicians: An Index for Assessing Musical Sophistication in the General",10.1371/journal.pone.0089642,"""The Musicality of Non-Musicians An Index"" 2014",1168
Denominator neglect," Slovic, P., Mertz, C. K., Mazzocco, K., ' Dickert, S. (2006). Numeracy and Decision Making. Psychological Science, 17(5), 407–413. Sirota, M., Juanchich",10.1111/j.1467-9280.2006.01720.x,"""Numeracy and Decision Making"" 2006",1155
Miriam G. Sherin,"Sciences, 19, 3-53 Sherin, M. G., ' van Es., E. A. (2009). Effects of video club participation on teachers’ professional vision. Journal of Teacher Education",10.1177/0022487108328155,"""Effects of Video Club Participation on"" 2008",1129
Fei Xu,"6-month-old infants'. Cognition. Xu, F., ' Tenenbaum, J. B. (2007). Word learning as Bayesian inference. Psychological Review, 114(2), 245–272. Xu, F. ' Garcia",10.1037/0033-295x.114.2.245,"""Word learning as Bayesian inference"" 2007",1046
Negative evidence in language acquisition,"PMID 15147936. S2CID 17024868. Xu, Fei; Tenenbaum, Joshua B. (2007). 'Word Learning as Bayesian Inference'. Psychological Review. 114 (2): 245–272. CiteSeerX 10",10.1037/0033-295x.114.2.245,"""Word learning as Bayesian inference"" 2007",1046
Types of artificial neural networks,"doi:10.1111/j.1467-7687.2007.00585.x. PMID 17444972. Xu, Fei; Tenenbaum, Joshua (2007). 'Word learning as Bayesian inference'. Psychol. Rev. 114 (2):",10.1037/0033-295x.114.2.245,"""Word learning as Bayesian inference"" 2007",1046
Omission bias,"3960030404. Spranca, Mark; Minsk, Elisa; Baron, Jonathan (1991). 'Omission and commission in judgment and choice'. Journal of Experimental Social Psychology",10.1016/0022-1031(91)90011-t,"""Omission and commission in judgment and"" 1991",1035
Organic food culture,"Misani, Nicola; Tencati, Antonio (27 December 2007). 'The impact of corporate social responsibility on consumer trust: the case of organic food'. Business",10.1002/smj.2268,"""The impact of corporate social responsibility"" 2014",987
Corporate social responsibility,assessments of such firms concerning CSR. To fully observe the impact of corporate social responsibility practices on a firm's corporate financial performance,10.1002/smj.2268,"""The impact of corporate social responsibility"" 2014",987
Ethical consumerism,"Irfan, Muhammad; Mubarak, Muhammad Shujaat (2021). 'The impact of corporate social responsibility on customer loyalty: The mediating role of corporate",10.1002/smj.2268,"""The impact of corporate social responsibility"" 2014",987
